"fields__id","fields__label","fields__type","data__001","data__002","data__003","data__004","data__005","data__006"
"","","","CHHATTISGARH","2013","Married","2627","1140","3767"
"","","","CHHATTISGARH","2013","Widowed/Widower","93","113","206"
"","","","CHHATTISGARH","2013","Divorcee","19","17","36"
"","","","CHHATTISGARH","2013","Seperated","22","11","33"
"","","","CHHATTISGARH","2013","Total","3648","1788","5436"
"","","","GOA","2013","Never Married","102","39","141"
"","","","GOA","2013","Married","127","57","184"
"","","","GOA","2013","Widowed/Widower","0","2","2"
"","","","GOA","2013","Divorcee","1","0","1"
"","","","GOA","2013","Seperated","0","0","0"
"","","","GOA","2013","Total","230","98","328"
"","","","GUJARAT","2013","Never Married","907","649","1556"
"","","","GUJARAT","2013","Married","3318","1771","5089"
"","","","GUJARAT","2013","Widowed/Widower","205","158","363"
"","","","GUJARAT","2013","Divorcee","55","36","91"
"","","","GUJARAT","2013","Seperated","47","20","67"
"","","","GUJARAT","2013","Total","4532","2634","7166"
"","","","HARYANA","2013","Never Married","604","180","784"
"","","","HARYANA","2013","Married","1688","558","2246"
"","","","HARYANA","2013","Widowed/Widower","140","43","183"
"","","","HARYANA","2013","Divorcee","18","7","25"
"","","","HARYANA","2013","Seperated","52","26","78"
"","","","HARYANA","2013","Total","2502","814","3316"
"","","","HIMACHAL PRADESH","2013","Never Married","92","42","134"
"","","","HIMACHAL PRADESH","2013","Married","249","123","372"
"","","","HIMACHAL PRADESH","2013","Widowed/Widower","9","10","19"
"","","","HIMACHAL PRADESH","2013","Divorcee","2","1","3"
"","","","HIMACHAL PRADESH","2013","Seperated","12","14","26"
"","","","HIMACHAL PRADESH","2013","Total","364","190","554"
"","","","JAMMU & KASHMIR","2013","Never Married","37","42","79"
"","","","JAMMU & KASHMIR","2013","Married","112","71","183"
"","","","JAMMU & KASHMIR","2013","Widowed/Widower","15","12","27"
"","","","JAMMU & KASHMIR","2013","Divorcee","1","4","5"
"","","","JAMMU & KASHMIR","2013","Seperated","3","5","8"
"","","","JAMMU & KASHMIR","2013","Total","168","134","302"
"","","","JHARKHAND","2013","Never Married","327","182","509"
"","","","JHARKHAND","2013","Married","558","232","790"
"","","","JHARKHAND","2013","Widowed/Widower","43","35","78"
"","","","JHARKHAND","2013","Divorcee","28","19","47"
"","","","JHARKHAND","2013","Seperated","28","8","36"
"","","","JHARKHAND","2013","Total","984","476","1460"
"","","","KARNATAKA","2013","Never Married","2006","907","2913"
"","","","KARNATAKA","2013","Married","5335","2392","7727"
"","","","KARNATAKA","2013","Widowed/Widower","169","140","309"
"","","","KARNATAKA","2013","Divorcee","38","20","58"
"","","","KARNATAKA","2013","Seperated","185","74","259"
"","","","KARNATAKA","2013","Total","7733","3533","11266"
"","","","KERALA","2013","Never Married","1033","382","1415"
"","","","KERALA","2013","Married","5229","1325","6554"
"","","","KERALA","2013","Widowed/Widower","255","167","422"
"","","","KERALA","2013","Divorcee","75","40","115"
"","","","KERALA","2013","Seperated","109","31","140"
"","","","KERALA","2013","Total","6701","1945","8646"
"","","","MADHYA PRADESH","2013","Never Married","1520","1065","2585"
"","","","MADHYA PRADESH","2013","Married","3871","2490","6361"
"","","","MADHYA PRADESH","2013","Widowed/Widower","192","157","349"
"","","","MADHYA PRADESH","2013","Divorcee","35","28","63"
"","","","MADHYA PRADESH","2013","Seperated","52","36","88"
"","","","MADHYA PRADESH","2013","Total","5670","3776","9446"
"","","","MAHARASHTRA","2013","Never Married","2538","1218","3756"
"","","","MAHARASHTRA","2013","Married","8930","3248","12178"
"","","","MAHARASHTRA","2013","Widowed/Widower","301","209","510"
"","","","MAHARASHTRA","2013","Divorcee","46","38","84"
"","","","MAHARASHTRA","2013","Seperated","77","17","94"
"","","","MAHARASHTRA","2013","Total","11892","4730","16622"
"","","","MANIPUR","2013","Never Married","6","5","11"
"","","","MANIPUR","2013","Married","16","10","26"
"","","","MANIPUR","2013","Widowed/Widower","0","0","0"
"","","","MANIPUR","2013","Divorcee","0","0","0"
"","","","MANIPUR","2013","Seperated","0","0","0"
"","","","MANIPUR","2013","Total","22","15","37"
"","","","MEGHALAYA","2013","Never Married","50","21","71"
"","","","MEGHALAYA","2013","Married","45","17","62"
"","","","MEGHALAYA","2013","Widowed/Widower","1","3","4"
"","","","MEGHALAYA","2013","Divorcee","0","0","0"
"","","","MEGHALAYA","2013","Seperated","0","0","0"
"","","","MEGHALAYA","2013","Total","96","41","137"
"","","","MIZORAM","2013","Never Married","44","8","52"
"","","","MIZORAM","2013","Married","17","6","23"
"","","","MIZORAM","2013","Widowed/Widower","0","0","0"
"","","","MIZORAM","2013","Divorcee","9","0","9"
