"fields__id","fields__label","fields__type","data__001","data__002","data__003","data__004","data__005","data__006","data__007"
"","","","Goa","2014","Status not known","17","1","0","18"
"","","","Goa","2014","Total","203","88","0","291"
"","","","Gujarat","2014","Un-Married","951","552","0","1503"
"","","","Gujarat","2014","Married","3113","1814","0","4927"
"","","","Gujarat","2014","Widowed/Widower","143","116","0","259"
"","","","Gujarat","2014","Divorcee","27","16","0","43"
"","","","Gujarat","2014","Separated","14","24","0","38"
"","","","Gujarat","2014","Others","214","56","0","270"
"","","","Gujarat","2014","Status not known","141","44","0","185"
"","","","Gujarat","2014","Total","4603","2622","0","7225"
"","","","Haryana","2014","Un-Married","423","130","0","553"
"","","","Haryana","2014","Married","1412","366","0","1778"
"","","","Haryana","2014","Widowed/Widower","31","25","0","56"
"","","","Haryana","2014","Divorcee","14","7","0","21"
"","","","Haryana","2014","Separated","0","0","0","0"
"","","","Haryana","2014","Others","455","130","0","585"
"","","","Haryana","2014","Status not known","187","23","0","210"
"","","","Haryana","2014","Total","2522","681","0","3203"
"","","","Himachal Pradesh","2014","Un-Married","67","44","0","111"
"","","","Himachal Pradesh","2014","Married","274","187","0","461"
"","","","Himachal Pradesh","2014","Widowed/Widower","7","3","0","10"
"","","","Himachal Pradesh","2014","Divorcee","4","3","0","7"
"","","","Himachal Pradesh","2014","Separated","0","0","0","0"
"","","","Himachal Pradesh","2014","Others","39","9","0","48"
"","","","Himachal Pradesh","2014","Status not known","5","2","0","7"
"","","","Himachal Pradesh","2014","Total","396","248","0","644"
"","","","Jammu & Kashmir","2014","Un-Married","41","40","0","81"
"","","","Jammu & Kashmir","2014","Married","75","35","0","110"
"","","","Jammu & Kashmir","2014","Widowed/Widower","0","1","0","1"
"","","","Jammu & Kashmir","2014","Divorcee","0","0","0","0"
"","","","Jammu & Kashmir","2014","Separated","1","0","0","1"
"","","","Jammu & Kashmir","2014","Others","26","16","0","42"
"","","","Jammu & Kashmir","2014","Status not known","7","16","0","23"
"","","","Jammu & Kashmir","2014","Total","150","108","0","258"
"","","","Jharkhand","2014","Un-Married","215","91","0","306"
"","","","Jharkhand","2014","Married","419","202","0","621"
"","","","Jharkhand","2014","Widowed/Widower","5","17","0","22"
"","","","Jharkhand","2014","Divorcee","21","4","0","25"
"","","","Jharkhand","2014","Separated","11","4","0","15"
"","","","Jharkhand","2014","Others","149","48","0","197"
"","","","Jharkhand","2014","Status not known","70","44","0","114"
"","","","Jharkhand","2014","Total","890","410","0","1300"
"","","","Karnataka","2014","Un-Married","1574","819","1","2394"
"","","","Karnataka","2014","Married","5039","1957","0","6996"
"","","","Karnataka","2014","Widowed/Widower","58","87","0","145"
"","","","Karnataka","2014","Divorcee","14","13","0","27"
"","","","Karnataka","2014","Separated","70","17","0","87"
"","","","Karnataka","2014","Others","698","286","0","984"
"","","","Karnataka","2014","Status not known","231","80","1","312"
"","","","Karnataka","2014","Total","7684","3259","2","10945"
"","","","Kerala","2014","Un-Married","1114","439","0","1553"
"","","","Kerala","2014","Married","4763","1421","0","6184"
"","","","Kerala","2014","Widowed/Widower","171","102","0","273"
"","","","Kerala","2014","Divorcee","91","22","0","113"
"","","","Kerala","2014","Separated","60","21","0","81"
"","","","Kerala","2014","Others","186","26","0","212"
"","","","Kerala","2014","Status not known","27","3","0","30"
"","","","Kerala","2014","Total","6412","2034","0","8446"
