"Sl. No.","Category","State/UT/City","Bankruptcy or Indebtedness - Male","Bankruptcy or Indebtedness - Female","Bankruptcy or Indebtedness - Transgender","Bankruptcy or Indebtedness - Total","Marriage Related Issues (Total) - Male","Marriage Related Issues (Total) - Female","Marriage Related Issues (Total) - Transgender","Marriage Related Issues (Total) - Total","Marriage Related Issues (Non-Settlement of Marriage) - Male","Marriage Related Issues (Non-Settlement of Marriage) - Female","Marriage Related Issues (Non-Settlement of Marriage) - Transgender","Marriage Related Issues (Non-Settlement of Marriage) - Total","Marriage Related Issues (Dowry Related Issues) - Male","Marriage Related Issues (Dowry Related Issues) - Female","Marriage Related Issues (Dowry Related Issues) - Transgender","Marriage Related Issues (Dowry Related Issues) - Total","Marriage Related Issues (Extra Marital affairs) - Male","Marriage Related Issues (Extra Marital affairs) - Female","Marriage Related Issues (Extra Marital affairs) - Transgender","Marriage Related Issues (Extra Marital affairs) - Total","Marriage Related Issues (Divorce) - Male","Marriage Related Issues (Divorce) - Female","Marriage Related Issues (Divorce) - Transgender","Marriage Related Issues (Divorce) - Total","Marriage Related Issues (Others) - Male","Marriage Related Issues (Others) - Female","Marriage Related Issues (Others) - Transgender","Marriage Related Issues (Others) - Total","Failure in Examination - Male","Failure in Examination - Female","Failure in Examination - Transgender","Failure in Examination - Total","Impotency/Infertility - Male","Impotency/Infertility - Female","Impotency/Infertility - Transgender","Impotency/Infertility - Total","Family Problems - Male","Family Problems - Female","Family Problems - Transgender","Family Problems - Total","Illness (Total) - Male","Illness (Total) - Female","Illness (Total) - Transgender","Illness (Total) - Total","Illness (AIDS/STD) - Male","Illness (AIDS/STD) - Female","Illness (AIDS/STD) - Transgender","Illness (AIDS/STD) - Total","Illness (Cancer) - Male","Illness (Cancer) - Female","Illness (Cancer) - Transgender","Illness (Cancer) - Total","Illness (Paralysis) - Male","Illness (Paralysis) - Female","Illness (Paralysis) - Transgender","Illness (Paralysis) - Total","Illness (Insanity/Mental illness) - Male","Illness (Insanity/Mental illness) - Female","Illness (Insanity/Mental illness) - Transgender","Illness (Insanity/Mental illness) - Total","Illness (Other Prolonged Illness) - Male","Illness (Other Prolonged Illness) - Female","Illness (Other Prolonged Illness) - Transgender","Illness (Other Prolonged Illness) - Total","Death of Dear Person - Male","Death of Dear Person - Female","Death of Dear Person - Transgender","Death of Dear Person - Total","Drug Abuse/Alcoholic Addiction - Male","Drug Abuse/Alcoholic Addiction - Female","Drug Abuse/Alcoholic Addiction - Transgender","Drug Abuse/Alcoholic Addiction - Total","Fall in Social Reputation - Male","Fall in Social Reputation - Female","Fall in Social Reputation - Transgender","Fall in Social Reputation - Total","Ideological Causes/Hero Worshipping - Male","Ideological Causes/Hero Worshipping - Female","Ideological Causes/Hero Worshipping - Transgender","Ideological Causes/Hero Worshipping - Total","Love Affairs - Male","Love Affairs - Female","Love Affairs - Transgender","Love Affairs - Total","Poverty - Male","Poverty - Female","Poverty - Transgender","Poverty - Total","Unemployment - Male","Unemployment - Female","Unemployment - Transgender","Unemployment - Total","Property Dispute - Male","Property Dispute - Female","Property Dispute - Transgender","Property Dispute - Total","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Male","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Female","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Transgender","Suspected/ Illicit Relation (Other than Extra Marital Affairs) - Total","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Male","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Female","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Transgender","Illegitimate Pregnancy (Other than Extra Marital Affairs) - Total","Physical Abuse (Rape, etc.) - Male","Physical Abuse (Rape, etc.) - Female","Physical Abuse (Rape, etc.) - Transgender","Physical Abuse (Rape, etc.) - Total","Professional/Career Problem - Male","Professional/Career Problem - Female","Professional/Career Problem - Transgender","Professional/Career Problem - Total","Causes Not Known - Male","Causes Not Known - Female","Causes Not Known - Transgender","Causes Not Known - Total","Other Causes - Male","Other Causes - Female","Other Causes - Transgender","Other Causes - Total","Total - Male","Total - Female","Total - Transgender","Grand Total"
"1","State","ANDHRA PRADESH","294","18","0","312","65","78","0","143","22","18","0","40","1","18","0","19","12","12","0","24","1","3","0","4","29","27","0","56","56","40","0","96","10","18","0","28","911","477","0","1388","1054","862","0","1916","34","3","0","37","7","29","0","36","27","37","0","64","216","198","0","414","770","595","0","1365","29","16","0","45","159","3","0","162","7","2","0","9","0","0","0","0","55","37","0","92","282","42","0","324","76","4","0","80","84","18","0","102","15","21","0","36","0","0","0","0","0","2","0","2","54","4","0","58","302","49","0","351","854","228","0","1082","4307","1919","0","6226"
"2","State","ARUNACHAL PRADESH","0","0","0","0","4","1","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","5","0","1","0","1","0","0","0","0","9","8","0","17","13","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","0","0","13","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","1","2","0","3","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","0","1","35","14","0","49","25","17","0","42","89","46","0","135"
"3","State","ASSAM","0","0","0","0","56","70","0","126","15","10","0","25","4","28","0","32","26","8","0","34","11","24","0","35","0","0","0","0","254","160","0","414","42","20","0","62","346","126","0","472","186","27","0","213","0","0","0","0","41","1","0","42","5","0","0","5","140","26","0","166","0","0","0","0","51","10","0","61","0","0","0","0","43","3","0","46","0","0","0","0","608","279","0","887","242","53","0","295","132","0","0","132","328","111","0","439","0","3","0","3","0","0","0","0","0","0","0","0","19","0","0","19","35","3","0","38","22","2","0","24","2364","867","0","3231"
"4","State","BIHAR","1","0","0","1","46","63","0","109","10","9","0","19","0","15","0","15","15","5","0","20","0","0","0","0","21","34","0","55","21","16","0","37","0","0","0","0","80","68","0","148","30","6","0","36","0","0","0","0","2","1","0","3","0","0","0","0","26","4","0","30","2","1","0","3","0","0","0","0","2","0","0","2","1","0","0","1","0","0","0","0","20","19","0","39","0","0","0","0","0","0","0","0","15","1","0","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","6","0","14","66","47","0","113","290","226","0","516"
"5","State","CHHATTISGARH","8","0","0","8","44","101","0","145","19","10","0","29","0","58","0","58","5","4","0","9","2","0","0","2","18","29","0","47","30","22","0","52","5","4","0","9","961","462","0","1423","648","248","0","896","2","0","0","2","5","2","0","7","2","2","0","4","301","105","0","406","338","139","0","477","19","10","0","29","103","2","0","105","9","1","0","10","1","0","0","1","55","42","0","97","4","1","0","5","50","0","0","50","11","3","0","14","10","7","0","17","0","1","0","1","0","1","0","1","8","4","0","12","626","271","0","897","2382","963","1","3346","4974","2143","1","7118"
"6","State","GOA","0","0","0","0","2","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","4","1","3","0","4","0","0","0","0","26","14","0","40","55","22","0","77","1","0","0","1","0","2","0","2","0","0","0","0","35","8","0","43","19","12","0","31","0","1","0","1","1","0","0","1","0","0","0","0","0","0","0","0","5","6","0","11","0","0","0","0","10","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","47","17","0","64","70","17","0","87","220","82","0","302"
"7","State","GUJARAT","87","5","0","92","179","170","0","349","68","55","0","123","7","16","0","23","28","40","0","68","48","34","0","82","28","25","0","53","83","68","0","151","6","20","0","26","945","636","0","1581","960","577","0","1537","8","3","0","11","129","39","0","168","83","32","0","115","505","353","0","858","235","150","0","385","44","28","0","72","59","6","0","65","28","2","0","30","16","4","0","20","170","144","0","314","186","46","0","232","218","39","0","257","78","27","0","105","27","28","0","55","0","2","0","2","0","0","0","0","134","16","0","150","1257","616","0","1873","227","108","0","335","4704","2542","0","7246"
"8","State","HARYANA","7","0","0","7","15","16","0","31","5","1","0","6","0","7","0","7","5","2","0","7","0","1","0","1","5","5","0","10","22","5","0","27","0","1","0","1","547","168","0","715","232","57","0","289","1","0","0","1","2","0","0","2","1","0","0","1","45","20","0","65","183","37","0","220","1","0","0","1","45","9","0","54","19","2","0","21","0","3","0","3","21","10","0","31","0","0","0","0","36","2","0","38","86","17","0","103","1","0","0","1","0","1","0","1","0","1","0","1","27","11","0","38","520","93","0","613","1225","345","0","1570","2804","741","0","3545"
"9","State","HIMACHAL PRADESH","0","0","0","0","18","27","0","45","11","10","0","21","0","9","0","9","1","3","0","4","0","2","0","2","6","3","0","9","7","6","0","13","8","3","0","11","49","45","0","94","48","22","0","70","0","0","0","0","1","0","0","1","1","0","0","1","24","12","0","36","22","10","0","32","1","1","0","2","13","0","0","13","2","0","0","2","0","0","0","0","11","6","0","17","3","1","0","4","10","0","0","10","20","3","0","23","7","1","0","8","0","0","0","0","0","1","0","1","7","1","0","8","32","25","0","57","111","54","0","165","347","196","0","543"
"10","State","JAMMU & KASHMIR","0","0","0","0","8","19","0","27","6","10","0","16","0","7","0","7","2","0","0","2","0","0","0","0","0","2","0","2","2","4","0","6","0","0","0","0","32","32","0","64","10","5","0","15","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","7","5","0","12","0","0","0","0","1","0","0","1","1","0","0","1","2","0","0","2","3","30","0","33","7","3","0","10","7","3","0","10","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","5","5","0","10","57","28","0","85","66","40","0","106","202","170","0","372"
"11","State","JHARKHAND","7","2","0","9","25","38","0","63","5","17","0","22","0","0","0","0","20","21","0","41","0","0","0","0","0","0","0","0","63","30","0","93","8","3","0","11","165","87","0","252","45","24","0","69","0","0","0","0","0","0","0","0","0","1","0","1","45","23","0","68","0","0","0","0","4","1","0","5","7","0","0","7","3","4","0","7","0","0","0","0","29","16","0","45","3","5","0","8","74","11","0","85","4","7","0","11","0","1","0","1","0","0","0","0","0","0","0","0","114","37","0","151","6","0","0","6","10","2","0","12","567","268","0","835"
"12","State","KARNATAKA","1063","23","0","1086","186","176","0","362","21","23","0","44","3","35","0","38","7","11","0","18","6","5","0","11","149","102","0","251","159","123","0","282","3","32","0","35","1290","686","0","1976","1087","656","0","1743","12","5","0","17","20","5","0","25","36","17","0","53","273","169","0","442","746","460","0","1206","57","43","0","100","92","2","0","94","22","13","0","35","1","0","0","1","178","123","0","301","0","0","0","0","150","16","0","166","141","26","0","167","15","7","0","22","0","0","0","0","0","0","0","0","91","14","0","105","590","338","0","928","2329","1054","0","3383","7454","3332","0","10786"
"13","State","KERALA","87","14","0","101","191","70","0","261","19","5","0","24","0","9","0","9","22","6","0","28","6","6","0","12","144","44","0","188","48","40","0","88","7","5","0","12","2095","714","0","2809","1318","538","0","1856","1","0","0","1","74","26","0","100","49","11","0","60","474","223","0","697","720","278","0","998","66","38","0","104","414","4","0","418","35","10","0","45","0","0","0","0","63","52","0","115","3","0","0","3","53","4","0","57","47","20","0","67","2","6","0","8","0","2","0","2","0","0","0","0","21","7","0","28","326","94","0","420","1052","246","0","1298","5828","1864","0","7692"
"14","State","MADHYA PRADESH","53","4","0","57","247","764","0","1011","85","51","0","136","11","554","0","565","62","72","0","134","10","12","0","22","79","75","0","154","88","90","0","178","25","23","0","48","1595","1154","0","2749","1363","587","0","1950","3","0","0","3","29","10","0","39","27","6","0","33","861","366","0","1227","443","205","0","648","68","70","0","138","486","75","0","561","74","25","0","99","1","0","0","1","165","186","0","351","21","2","0","23","471","108","0","579","216","61","0","277","22","27","0","49","0","4","0","4","0","26","0","26","56","10","0","66","583","298","0","881","760","485","0","1245","6294","3999","0","10293"
"15","State","MAHARASHTRA","1579","120","0","1699","304","402","0","706","118","78","0","196","5","171","0","176","59","32","0","91","30","24","0","54","92","97","0","189","201","182","0","383","59","26","0","85","3710","1822","0","5532","2289","957","1","3247","55","16","0","71","115","37","0","152","72","13","0","85","672","318","0","990","1375","573","1","1949","97","44","0","141","1255","16","0","1271","67","13","0","80","10","9","0","19","197","134","0","331","226","23","0","249","364","13","0","377","161","50","0","211","12","15","0","27","0","9","0","9","0","5","0","5","312","23","0","335","432","144","1","577","1379","307","0","1686","12654","4314","2","16970"
"16","State","MANIPUR","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","2","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","5","5","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","6","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","3","0","16","1","0","0","1","21","16","0","37"
"17","State","MEGHALAYA","0","0","0","0","4","4","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","0","8","1","2","0","3","0","0","0","0","26","11","0","37","7","2","0","9","0","0","0","0","0","0","0","0","0","0","0","0","6","2","0","8","1","0","0","1","0","0","0","0","4","0","0","4","2","0","0","2","0","0","0","0","7","5","0","12","6","0","0","6","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","39","7","0","46","32","10","0","42","131","41","0","172"
"18","State","MIZORAM","1","1","0","2","4","2","0","6","0","0","0","0","0","0","0","0","0","2","0","2","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","33","13","0","46","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","12","0","0","12","0","0","0","0","0","0","0","0","8","1","0","9","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","0","3","18","4","0","22","18","0","0","18","101","22","0","123"
"19","State","NAGALAND","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","4","0","19","0","0","0","0","16","5","0","21"
"20","State","ODISHA","32","0","0","32","130","277","0","407","51","56","0","107","4","81","0","85","12","8","0","20","1","4","0","5","62","128","0","190","33","25","0","58","2","2","0","4","700","351","0","1051","219","149","0","368","0","0","0","0","26","19","0","45","28","20","0","48","60","24","0","84","105","86","0","191","24","23","0","47","19","1","0","20","27","4","0","31","0","0","0","0","126","125","0","251","84","0","0","84","45","9","0","54","38","11","0","49","14","8","0","22","0","7","0","7","0","6","0","6","23","12","0","35","320","209","0","529","539","493","0","1032","2375","1712","0","4087"
"21","State","PUNJAB","45","0","0","45","42","58","0","100","23","16","0","39","0","29","0","29","3","9","0","12","3","2","0","5","13","2","0","15","17","12","0","29","5","2","0","7","227","75","0","302","204","42","0","246","1","1","0","2","5","1","0","6","5","0","0","5","150","36","0","186","43","4","0","47","9","5","0","14","49","0","0","49","12","2","0","14","0","0","0","0","20","7","0","27","28","5","0","33","14","0","0","14","33","3","0","36","3","3","0","6","0","0","0","0","0","1","0","1","18","0","0","18","18","0","0","18","72","18","0","90","816","233","0","1049"
"22","State","RAJASTHAN","10","0","0","10","80","58","0","138","11","12","0","23","4","15","0","19","7","4","0","11","10","3","0","13","48","24","0","72","35","23","0","58","1","1","0","2","920","381","0","1301","380","138","0","518","1","0","0","1","9","3","0","12","3","3","0","6","262","85","0","347","105","47","0","152","5","1","0","6","80","9","0","89","9","4","0","13","0","1","0","1","87","56","0","143","9","0","0","9","22","0","0","22","42","4","0","46","10","3","0","13","0","0","0","0","0","0","0","0","6","0","0","6","359","122","0","481","482","119","0","601","2537","920","0","3457"
"23","State","SIKKIM","0","0","0","0","4","0","0","4","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","3","0","3","10","10","0","20","0","0","0","0","0","0","0","0","0","0","0","0","3","3","0","6","7","7","0","14","0","0","0","0","8","0","0","8","2","0","0","2","0","0","0","0","2","2","0","4","0","0","0","0","6","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","80","34","0","114","57","22","0","79","170","71","0","241"
"24","State","TAMIL NADU","196","33","0","229","154","180","0","334","72","44","0","116","14","25","0","39","13","59","0","72","35","44","0","79","20","8","0","28","177","145","0","322","9","12","0","21","4922","2455","0","7377","2221","1223","1","3445","11","3","0","14","52","35","0","87","55","17","0","72","544","370","0","914","1559","798","1","2358","80","45","0","125","411","11","0","422","0","0","0","0","1","0","0","1","306","250","0","556","42","12","0","54","387","27","0","414","35","17","0","52","76","21","1","98","0","5","0","5","0","0","0","0","108","16","0","124","282","66","0","348","1327","523","0","1850","10734","5041","2","15777"
"25","State","TELANGANA","595","54","0","649","144","83","0","227","28","25","0","53","0","5","0","5","10","6","0","16","6","2","0","8","100","45","0","145","60","37","0","97","2","1","0","3","1074","582","0","1656","369","165","0","534","15","3","0","18","15","6","0","21","26","9","0","35","229","132","0","361","84","15","0","99","24","8","0","32","94","6","0","100","362","190","0","552","1","0","0","1","75","36","0","111","258","37","0","295","94","8","0","102","390","193","0","583","15","2","0","17","0","0","0","0","1","0","0","1","200","89","1","290","2007","878","0","2885","1544","460","1","2005","7309","2829","2","10140"
"26","State","TRIPURA","0","0","0","0","13","36","0","49","5","8","0","13","0","2","0","2","7","14","0","21","0","7","0","7","1","5","0","6","21","24","0","45","0","0","0","0","173","96","0","269","68","39","0","107","0","0","0","0","7","6","0","13","4","1","0","5","47","25","0","72","10","7","0","17","0","2","0","2","12","0","0","12","0","0","0","0","0","0","0","0","23","28","0","51","6","4","0","10","25","7","0","32","27","2","0","29","9","3","0","12","0","0","0","0","0","0","0","0","7","0","0","7","28","10","0","38","63","20","0","83","475","271","0","746"
"27","State","UTTAR PRADESH","7","2","0","9","193","455","0","648","18","19","0","37","14","304","0","318","33","26","0","59","15","15","0","30","113","91","0","204","34","14","0","48","11","3","0","14","735","475","0","1210","175","51","0","226","10","0","0","10","18","1","0","19","9","1","0","10","68","33","0","101","70","16","0","86","10","5","0","15","74","10","0","84","8","3","0","11","5","0","0","5","89","55","0","144","26","5","0","31","65","4","0","69","15","1","0","16","12","7","0","19","0","5","0","5","13","14","0","27","13","3","0","16","269","186","0","455","535","315","0","850","2289","1613","0","3902"
"28","State","UTTARAKHAND","2","0","0","2","3","13","0","16","1","3","0","4","0","3","0","3","0","1","0","1","0","0","0","0","2","6","0","8","6","1","0","7","0","0","0","0","92","45","0","137","21","6","0","27","0","0","0","0","0","0","0","0","1","0","0","1","4","0","0","4","16","6","0","22","1","0","0","1","8","0","0","8","1","0","0","1","0","0","0","0","10","8","0","18","8","2","0","10","9","0","0","9","0","0","0","0","3","1","0","4","0","0","0","0","1","2","0","3","0","2","0","2","27","12","0","39","154","37","0","191","346","129","0","475"
"29","State","WEST BENGAL","1","0","0","1","261","621","0","882","25","39","0","64","4","342","0","346","42","30","0","72","3","7","0","10","187","203","0","390","68","44","0","112","2","4","0","6","1889","1667","0","3556","941","439","0","1380","0","0","0","0","25","17","0","42","7","4","0","11","572","240","0","812","337","178","0","515","2","2","0","4","42","1","0","43","64","11","0","75","0","0","0","0","172","230","0","402","0","0","0","0","85","17","0","102","118","21","0","139","23","31","0","54","0","13","0","13","0","3","0","3","68","8","0","76","2440","1389","0","3829","2889","1036","0","3925","9065","5537","0","14602"
"TOTAL (STATES)","TOTAL (STATES)","TOTAL (STATES)","4075","276","0","4351","2422","3786","0","6208","640","519","0","1159","71","1733","0","1804","391","377","0","768","191","195","0","386","1129","962","0","2091","1487","1117","0","2604","206","180","0","386","23558","12659","0","36217","13954","6852","2","20808","155","34","0","189","582","240","0","822","441","174","0","615","5566","2775","0","8341","7210","3629","2","10841","592","354","0","946","3452","155","0","3607","798","289","0","1087","38","17","0","55","2506","1895","0","4401","1448","242","0","1690","2406","272","0","2678","1890","596","0","2486","276","195","1","472","0","49","0","49","15","64","0","79","1298","263","1","1562","10771","4920","1","15692","18291","6968","2","25261","89483","41149","7","130639"
"30","Union Territories","A & N ISLANDS","0","0","0","0","5","0","0","5","4","0","0","4","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","16","7","0","23","43","27","0","70","0","0","0","0","2","0","0","2","0","0","0","0","30","13","0","43","11","14","0","25","1","0","0","1","14","0","0","14","2","0","0","2","0","0","0","0","2","5","0","7","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","3","0","10","15","7","0","22","108","50","0","158"
"31","Union Territories","CHANDIGARH","1","0","0","1","0","3","0","3","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","2","0","2","2","4","0","6","27","25","0","52","0","0","0","0","7","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","7","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","2","0","0","2","3","0","0","3","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","4","0","0","4","9","7","0","16","16","8","0","24","74","47","0","121"
"32","Union Territories","D & N HAVELI","0","0","0","0","1","7","0","8","1","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","6","0","6","3","1","0","4","0","0","0","0","9","8","0","17","6","3","0","9","0","0","0","0","0","1","0","1","0","0","0","0","2","0","0","2","4","2","0","6","0","0","0","0","10","1","0","11","0","0","0","0","0","0","0","0","2","2","0","4","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","9","0","43","7","1","0","8","74","32","0","106"
"33","Union Territories","DAMAN & DIU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","6","0","19","6","6","0","12","25","13","0","38"
"34","Union Territories","DELHI (UT)","5","0","0","5","69","114","0","183","9","4","0","13","2","67","0","69","6","9","0","15","1","4","0","5","51","30","0","81","18","12","0","30","0","0","0","0","282","150","0","432","56","29","0","85","0","0","0","0","2","0","0","2","0","0","0","0","9","4","0","13","45","25","0","70","2","1","0","3","30","1","0","31","3","0","0","3","2","0","0","2","21","29","0","50","4","3","0","7","34","1","0","35","5","0","0","5","1","0","0","1","0","0","0","0","0","1","0","1","15","9","0","24","285","119","0","404","365","179","0","544","1197","648","0","1845"
"35","Union Territories","LAKSHADWEEP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","1","0","5"
"36","Union Territories","PUDUCHERRY","0","0","0","0","0","5","0","5","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4","1","0","0","1","10","0","0","10","178","61","0","239","159","33","0","192","1","0","0","1","0","0","0","0","1","2","0","3","2","3","0","5","155","28","0","183","0","0","0","0","7","0","0","7","0","0","0","0","0","0","0","0","7","2","0","9","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","9","0","30","178","38","0","216","563","148","0","711"
"TOTAL (UTs)","TOTAL (UTs)","TOTAL (UTs)","6","0","0","6","75","129","0","204","14","5","0","19","2","68","0","70","7","10","0","17","1","4","0","5","51","42","0","93","24","18","0","42","37","25","0","62","485","226","0","711","278","92","0","370","1","0","0","1","4","1","0","5","1","2","0","3","48","20","0","68","224","69","0","293","4","1","0","5","61","2","0","63","6","0","0","6","2","0","0","2","35","40","0","75","6","3","0","9","44","1","0","45","5","0","0","5","2","0","0","2","0","0","0","0","0","1","0","1","19","9","0","28","369","153","0","522","587","239","0","826","2045","939","0","2984"
"TOTAL (ALL INDIA)","TOTAL (ALL INDIA)","TOTAL (ALL INDIA)","4081","276","0","4357","2497","3915","0","6412","654","524","0","1178","73","1801","0","1874","398","387","0","785","192","199","0","391","1180","1004","0","2184","1511","1135","0","2646","243","205","0","448","24043","12885","0","36928","14232","6944","2","21178","156","34","0","190","586","241","0","827","442","176","0","618","5614","2795","0","8409","7434","3698","2","11134","596","355","0","951","3513","157","0","3670","804","289","0","1093","40","17","0","57","2541","1935","0","4476","1454","245","0","1699","2450","273","0","2723","1895","596","0","2491","278","195","1","474","0","49","0","49","15","65","0","80","1317","272","1","1590","11140","5073","1","16214","18878","7207","2","26087","91528","42088","7","133623"
"37","City","AGRA","0","0","0","0","0","21","0","21","0","0","0","0","0","21","0","21","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","7","1","0","0","1","18","9","0","27","7","0","0","7","1","0","0","1","0","0","0","0","1","0","0","1","5","0","0","5","0","0","0","0","3","0","0","3","7","0","0","7","5","0","0","5","0","0","0","0","4","2","0","6","0","0","0","0","7","0","0","7","3","0","0","3","0","0","0","0","0","0","0","0","0","6","0","6","1","0","0","1","6","2","0","8","6","1","0","7","75","41","0","116"
"38","City","AHMEDABAD","16","0","0","16","15","18","0","33","0","1","0","1","0","3","0","3","6","2","0","8","1","3","0","4","8","9","0","17","9","11","0","20","0","2","0","2","56","45","0","101","85","52","0","137","1","0","0","1","4","2","0","6","6","1","0","7","47","27","0","74","27","22","0","49","4","1","0","5","2","0","0","2","0","0","0","0","6","0","0","6","19","8","0","27","4","1","0","5","32","1","0","33","14","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","16","276","117","0","393","41","18","0","59","595","274","0","869"
"39","City","ALLAHABAD","0","1","0","1","0","3","0","3","0","0","0","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","0","0","7","5","0","12","1","0","0","1","42","21","0","63","5","1","0","6","1","0","0","1","1","0","0","1","0","0","0","0","3","1","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2","1","0","0","1","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","4","2","1","0","3","64","34","0","98"
"40","City","AMRITSAR","0","0","0","0","0","1","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","25","6","0","31","7","2","0","9","0","0","0","0","0","0","0","0","5","0","0","5","2","2","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","32","10","0","42"
"41","City","ASANSOL","0","0","0","0","0","4","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","3","0","3","1","0","0","1","0","0","0","0","10","3","0","13","18","2","0","20","0","0","0","0","0","0","0","0","0","0","0","0","9","1","0","10","9","1","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","91","70","0","161","71","68","0","139","193","148","0","341"
